gr,recn,yearStart,yearEnd
SD2810,9,2012,2021
SU0320,3,2010,2019
SU6320,3,2012,2021
SD2911,6,2012,2021
SU6420,3,2012,2021
SU0419,9,2010,2019
SS4433,3,2015,2019
SS4534,6,2015,2019
SU0518,5,2010,2019
SD2910,2,2012,2016
SS4537,2,2019,2019
SS4632,2,2019,2019
TF4987,6,2017,2022
SS4435,2,2019,2019
TF4691,1,2022,2022
SU6421,2,2016,2021
TF4988,2,2022,2022
SS4532,1,2015,2015
SS4535,5,2019,2019
SS4436,1,2019,2019
SU0420,1,2019,2019
TF4791,1,2022,2022
SK1775,1,2021,2021
SD1673,1,2015,2015
SS4533,1,2019,2019
SD1773,1,2015,2015
SU0418,2,2014,2019
SS4434,2,2015,2019
SK1277,1,2021,2021
SS4633,1,2019,2019